name,arabic_name
Pastries And Pies Egyptian Star,‫المعجنات والفطائر المصرية ستار‬
Health and Life Polyclinic,‫عيادة الصحة والحياة‬
Raeya AlMashuyat Restaurant,‫مطعم راية المشويات‬
Ilonggos,‫إيلونغوس‬
Bin Hydara Trading Est.,‫مؤسسة بن حيدرة للتجارة‬
Zayer,‫زاير‬
Bandhari Saudia,‫بانداري السعودية‬
Mary Bake and Cake,‫ماري بيك آند كيك‬
Madhaq Hawa,‫مدحاق حواء‬
Ibrahim M. Al-Najran Ext.,‫إبراهيم محمد النجران تحويلة‬
Natural Mashawi Charcoal,‫فحم مشوي طبيعي‬
Sugar And Flour,‫السكر والدقيق‬
Umm Aziz,‫أم عزيز‬
Maaref Bookstore,‫مكتبة معارف‬
Wahab Al-Khayer,‫وهاب الخير‬
Lamsa For Toys,‫لمسة للألعاب‬
Hamasat (Whisper),‫حماسات (همس)‬
Falafel Time,‫وقت الفلافل‬
Libanet KSA,‫لبنت السعودية‬
Future Toys,‫ألعاب المستقبل‬
Balah Al-Sham,‫بلاح الشام‬
Samboosa Al-Arabiyah,‫سمبوسة العربية‬
Gardens,‫حدائق‬
Faham Joud,‫فهام جود‬
Asseel House,‫بيت أصيل‬
Roma World Optical,‫روما وورلد للبصريات‬
Aqua Eyes Optical,‫أكوا آيز بصرية‬
Alahli,‫الأهلي‬
Reem Broasted,‫ريم بروستد‬
Sarikh Corner,‫ركن الصريخ‬
Madina Centre,‫مركز المدينة‬
Abeer Alaryaf,‫عبير العرف‬
Wallnut Forest,‫غابة الجوز‬
Ballons Magic,‫البالونات السحرية‬
Sahil,‫سهل‬
Neqsa Huluh,‫نقصة حلوح‬
Senta Lena,‫سينتا لينا‬
Talal,‫طلال‬
Garden Of Pastries,‫حديقة المعجنات‬
Tawos Al-Janah Super Market,‫تاووس الجناح سوبر ماركت‬
Mohammad Dossary Hospital,‫مستشفى محمد دوسري‬
Bawaba Al-Tawfir,‫بوباء التوفير‬
Shawarma Ramy,‫شاورما رامي‬
Mudeef Restaurant,‫مطعم المديف‬
Ameer Pasta,‫باستا أمير‬
Consumer World (Dammam),‫عالم المستهلك (الدمام)‬
Samlex,‫سامليكس‬
Ardh Al-Tawfeer,‫أرض التوفير‬
Hokail Medical Laboratory,‫مختبر الحقيل الطبي‬
Zeenath Al-Buyoth,‫زينات البيوت‬
Swah Restaurant,‫مطعم سواح‬
Sambosa Al-Shef,‫سمبوسة الشيف‬
Almas Dental Lab,‫مختبر الماس لطب الأسنان‬
Jawal Al-Jubail Telecom,‫جوال الجبيل للإتصالات‬
Red Bunny,‫الأرنب الأحمر‬
Choco Spell,‫شوكو سبيل‬
Nada Rose,‫ندى روز‬
Orntal Pastries & Sweets,‫المعجنات والحلويات المزخرفة‬
Janain Al-Wahaa Est.,‫مؤسسة جنين الوحة‬
Zaffranh,‫زعفرانة‬
AM-PM Snacks,‫الوجبات الخفيفة صباحا إلى مساء‬
Shaikh International Group,‫مجموعة الشيخ الدولية‬
Ghozn Allawz,‫غزن علوز‬
Sweet Thing,‫شيء حلو‬
Shawermaya,‫شاورمايا‬
Green House Flowers,‫زهور البيت الأخضر‬
SGP,‫SGP‬
Lamar Restaurant,‫مطعم لمار‬
Afandim For Fresh Grill,‫أفنديم للشواية الطازجة‬
Ajiyad,‫أجياد‬
Golden Chicken Restaurant,‫مطعم جولدن تشيكن‬
Talent Studio,‫استوديو المواهب‬
Honey And More,‫العسل والمزيد‬
Surprise,‫فاجأ‬
Ahla Bahla AL-Sham,‫أهلى بهلة الشام‬
Swear Restaurant,‫مطعم سوير‬
Freij Aqaibin Restaurant,‫مطعم فريج عقيبين‬
Noqaza Restaurant,‫مطعم نوقظة‬
Nawaem Dubai Abayat,‫نواعم دبي عبيات‬
GTA,‫جي تي إيه‬
True of Saving,‫صحيح في الادخار‬
Best,‫أفضل‬
Falafel NBA Al-Sham,‫فلافل الدوري الاميركي للمحترفين الشام‬
Awamiya Modern Restaurant,‫مطعم العوامية الحديث‬
Car Wash,‫غسيل السيارات‬
Rayhant Al-Sham Restaurant,‫مطعم ريحان الشام‬
Moasisat Al-Fatr Al-Mahir,‫مشاركات الفطر المهير‬
Crown Pillows,‫وسائد التاج‬
Figs and Almonds,‫التين واللوز‬
Dar Al-Aqbar Restaurant,‫مطعم دار الأقصى‬
Mr. Gambary,‫السيد غمباري‬
Amri Coffee,‫قهوة عمري‬
Dalin Sweets and Coffee,‫حلويات دالين والقهوة‬
Tethkar Al-Sharq,‫تاثر الشرق‬
Iron Nutrition,‫تغذية الحديد‬
Medmac Fastfood,‫ميدماك للوجبات السريعة‬
Food Station,‫محطة طعام‬
Baowabat Tabuk,‫باوابات تبوك‬
Camella,‫كاميلا‬
Shat Al-Arab,‫شط العرب‬
Salamatek Medical Center,‫مركز سالاماتك الطبي‬
Press Land,‫الصحافة الأرض‬
Hussain,‫حسين‬
Naeem Grills,‫مشاوي نعيم‬
Balad Mashuy,‫بلد مشوي‬
Gharib,‫غريب‬
Shula Al-Shamiyah,‫شعلة الشامية‬
Maratebb,‫ماراتب‬
My Signature,‫توقيعي‬
Serat Al-Sham,‫سرت الشام‬
Eiffel,‫ايفل‬
Natural Product,‫منتج طبيعي‬
Sabeel Group,‫مجموعة سبيل‬
Sufrah Restaurant,‫مطعم صفرة‬
Dawood,‫داود‬
Crestal,‫كريستال‬
Sarah And Sirrah,‫سارة وسيرة‬
Shahbas Yadgar,‫شهباس يادغار‬
NASCO Global,‫ناسكو جلوبال‬
Ishteaq,‫اشتاق‬
Ba Warith,‫با واريث‬
Grillo,‫جريلو‬
Pink Box,‫الصندوق الوردي‬
Abu Romana,‫أبو رمانة‬
Annapoorna Restaurant,‫مطعم أنابورنا‬
Liberty,‫الحريه‬
4 Friends Restaurant,‫مطعم 4 فريندز‬
Syl Sayed,‫سيل سيد‬
Alam Sahari Trading,‫عالم سحاري للتجارة‬
Fanar Coffee,‫قهوة الفنار‬
We Wash,‫نحن نغسل‬
Sun City,‫صن سيتي‬
Elegant Wave Trading Est.,‫مؤسسة الموجات الأنيقة للتجارة‬
Shams Al-Madina,‫شمس المدينة المنورة‬
Basta Al-Tawfir,‫بسطا التوفير‬
Ali Saad Al-Horaizi Trad. Est.,‫علي سعد الحريزي طراد. مؤسسه.‬
Shehri Shops,‫محلات شهري‬
Asar Al-Bukhary Restaurant,‫مطعم عصر البخاري‬
Nabeel Al-Awadhi,‫نبيل العوضي‬
Asar Al-Hadeth Restaurant,‫مطعم عصر الحديث‬
Shamel Saving,‫الشامل للتوفير‬
Taba Gardens Restaurant,‫مطعم طابا جاردنز‬
Dalia Fertilizer,‫دالية سماد‬
Mezbaan Darbar Restaurant,‫مطعم مزبان دربار‬
Amiantek,‫أميانتيك‬
Diwaniya,‫الديوانية‬
Oriental Palace,‫القصر الشرقي‬
Turkish Mazaya Pastry,‫معجنات مزايا التركية‬
Shubra,‫شبرا‬
Show Piece Grill,‫عرض قطعة الشواية‬
House Ware,‫أدوات منزلية‬
‫Mashtan Cafï؟½teria‬,‫مشتان كافيه؟1/2 تيريا‬
Jar Alqamar,‫جار القمر‬
Chef Al-Hadramy,‫الشيف الحضرمي‬
Sameeh Pastry and Restaurant,‫سميح للحلويات والمطعم‬
Saudi Railways Organization,‫الهيئة العامة للسكك الحديدية‬
Sahra Charcoal,‫فحم صحراء‬
Muslim Bori Nursery,‫حضانة مسلم بوري‬
Fouad Ali Bin Moh. Alhmla Est.,‫فؤاد علي بن موح. مؤسسة الحملا‬
Blue Bird,‫بلو بيرد‬
Shahad Al-Zafran Roasty,‫شهد الزعفران روستي‬
Dana Al-Maarif,‫دانة المعارف‬
Sallati,‫سلاتي‬
Emmawash Restaurant,‫مطعم Emmawash‬
Ramisis Kennel,‫بيت راميسيس‬
Alkyaf Nuts,‫المكسرات الألكاف‬
Lena Mart,‫لينا مارت‬
The Farm,‫المزرعة‬
Sugar,‫سكر‬
Sun City For Nuts,‫صن سيتي للمكسرات‬
Faraby Medical Center,‫مركز فارابي الطبي‬
Turath AL-Sharq,‫تراث الشرق‬
Phoenex Charcoal,‫فحم فينيكس‬
Gwazween Trading Est.,‫مؤسسة غوزوين للتجارة‬
PM,‫رئيس الوزراء‬
Mento,‫مينتو‬
Hometale,‫حكاية منزلية‬
Hassan Hassan Al-Dahan,‫حسن حسن الدهان‬
Ehraz Advertizing Agency,‫وكالة إحراز للإعلان‬
Strawberry Corner,‫ركن الفراولة‬
Khamis Uniforms,‫زي خميس‬
Bashair Gifts,‫هدايا بشير‬
Gourmandise Burger,‫جورمانديز برجر‬
Choco Crepe,‫كريب شوكو‬
Alam Al-Kaeef,‫عالم الكيف‬
Wasan Sweet,‫وسان سويت‬
Prestige Image,‫صورة برستيج‬
Prime Muscles,‫العضلات الرئيسية‬
Lab Coat Uniform,‫معطف المختبر الزي الرسمي‬
Nukhbt Al Ghand,‫نخبة الغند‬
AGH Warehouse,‫مستودع AGH‬
Dally Molodk,‫دالي مولودك‬
Kaku,‫كاكو‬
Dior Perfumes And Cosmetics,‫ديور للعطور ومستحضرات التجميل‬
Reef Al Sukar,‫ريف السكر‬
Mokhtar Pastry,‫معجنات المختار‬
Samah Mills,‫مطاحن سماح‬
Hikayath Taami,‫حكايات تامي‬
Kaltat Al Doctora,‫كلتات الدكتورة‬
Madukoth Al Yemen,‫مدوكوث اليمن‬
Heritage Village,‫قرية التراث‬
Addoha,‫أدوها‬
Hazzaz Al-Khobar,‫هزاز الخبر‬
Ajar Al-Tanoor,‫أجار التنور‬
Nozha,‫النزهة‬
‫La Paniï؟½re‬,‫لا باني؟1/2‬
Mosaba,‫موسابة‬
Lulu Sharqiya,‫لولو الشرقية‬
Safat Restaurant,‫مطعم الصفاة‬
Baabek,‫بعبك‬
Home Corner Furneture,‫ركن المنزل Furneture‬
Mawani,‫مواني‬
Istanbul House Restaurant,‫مطعم اسطنبول هاوس‬
Fresh Meat,‫اللحوم الطازجة‬
Nada Perfume,‫عطر ندى‬
Faraby Pharmacy,‫صيدلية فاربي‬
Amazing World,‫عالم مذهل‬
Mosabah,‫مصبح‬
La Pasta,‫لا باستا‬
Mouwasat Hospital,‫مستشفى المواساة‬
Janah Sweets,‫حلويات جنة‬
Fator Shamy,‫فاتور شامي‬
Dar As Sihha Medical Center,‫مركز دار السحة الطبي‬
Majed,‫ماجد‬
Maundry,‫ماوندري‬
Bait Al-Baranda,‫بيت البرندة‬
Noahs Ark,‫سفينة نوح‬
Istanbul House Restaurant 2,‫مطعم اسطنبول هاوس 2‬
Fatosh,‫فتوش‬
Blue Sky,‫السماء الزرقاء‬
Rice And Saffron,‫أرز و زعفران‬
Matam Baith Al-Manasaf,‫متام بيث المناسف‬
AS,‫مثل‬
Lamaa Carwash,‫لماء لغسيل السيارات‬
Perfect Body,‫جسم مثالي‬
Marja Juices,‫عصائر مارجا‬
‫Gï؟½lhane‬,‫Gï?1/2lhane‬
Hunger Moments,‫لحظات الجوع‬
Bait AL-Mansaf,‫بيت المنصاف‬
World Wrap,‫التفاف العالم‬
Sultanh,‫سلطانة‬
Bakhat Perfume,‫عطر بخات‬
Tempo Shawarma,‫تمبو شاورما‬
Eagle,‫نسر‬
Mamas Curry Powder,‫ماماز مسحوق كاري‬
Black Walnut Charcoal,‫فحم الجوز الأسود‬
Consumer World (Hassa),‫عالم المستهلك (الأحصاء)‬
My Vintage Home,‫منزلي القديم‬
‫Loulia Cafï؟½‬,‫لوليا كافي؟1/2‬
Mashwa AlBalad,‫مشوا البلد‬
Secret,‫سر‬
Malaz Bookstore,‫مكتبة الملز‬
Sharq Al-Madina,‫شرق المدينة المنورة‬
Ousha,‫عوشة‬
Sandwicher,‫ساندويشر‬
Bayt Bukhari,‫بيت بخاري‬
Fashion Salem,‫أزياء سالم‬
Aroos Qatif,‫عروس قطيف‬
Abu Al-Saud For Cloth,‫أبو السعود للقماش‬
Shawerma X,‫شاورما X‬
Kimalah,‫كيمالا‬
Azel,‫أزيل‬
Nawaf,‫نواف‬
Spices Fresh,‫بهارات طازجة‬
Feiruz Al-Sharq,‫فيروز الشرق‬
Office,‫مكتب‬
Shahat Al-Nahal,‫شحات النحال‬
Vins,‫فينز‬
Sad Mareb,‫مأرب الحزين‬
Turath,‫تراث‬
Twareat Medical Centre,‫مركز توريات الطبي‬
The Cuts,‫التخفيضات‬
Rodat Al-Khobar,‫رودات الخبر‬
Waraq Enab Station,‫محطة وراق عنب‬
Creepe Roll,‫لفة الزاحف‬
Sharq Restaurant,‫مطعم شرق‬
Thahab Al-Jazeera,‫ذهب الجزيرة‬
Ward Al-Reda Restaurant,‫مطعم ورد الرضا‬
Marka Musajala,‫ماركا مساجالة‬
Shahed Sweets,‫حلويات شاهد‬
Morooj,‫مروج‬
Coffee Time,‫وقت القهوة‬
Supplement Store,‫متجر المكملات الغذائية‬
Dar Rawi,‫دار راوي‬
Creative United Company,‫شركة الإبداع المتحدة‬
Tmor Mwasim Zasim,‫تمور مواسيم زاسم‬
Alumena,‫الخريج‬
Siwan,‫سيوان‬
Raey Broasted,‫راي بروست‬
Karama,‫كرامة‬
Lechef Sweets,‫حلويات ليشيف‬
Sea Food,‫مأكولات بحرية‬
Shemadan,‫شيمادان‬
Alroosy,‫الروسي‬
Green Shopping Center,‫مركز تسوق جرين‬
Qimat Al-Halwayath,‫قمات الحلوياث‬
Skin Care Center,‫مركز العناية بالبشرة‬
Arif Trading For Skin Care Co.,‫شركة عارف للتجارة للعناية بالبشرة‬
Rayed Al-Naseej,‫رائد النسيج‬
Khusheim Corporation,‫شركة خوشيم‬
Weekend,‫نهاية الأسبوع‬
Kacmazlar,‫كاتشازلار‬
Khair Zad,‫خير زاد‬
PSMMC,‫بي إس إم إم سي‬
Kabsah Art,‫فن الكبسة‬
Dubai For Saving,‫دبي للتوفير‬
Jazirah Pharmacy,‫صيدلية الجزيرة‬
Fan Kabsah,‫فان كبسة‬
Online SuperMarket,‫سوبر ماركت على الإنترنت‬
WAW,‫واو‬
Nabeel Perfume,‫عطر نبيل‬
Jamea Trad Est,‫مؤسسة جامع طراد‬
Salt Sweet,‫ملح حلو‬
Velvet Rose,‫مخمل روز‬
Green Apple,‫تفاح أخضر‬
Atarah Wa Akthar,‫عطارة وأكثار‬
Zaman Al-Barakh,‫زمان البراخ‬
Aces,‫اسات‬
Khabbaz For Shoes,‫خباز للأحذية‬
Simple Solutions,‫حلول بسيطة‬
Trenjh,‫ترينج‬
King Fahad Specialist Hospital,‫مستشفى الملك فهد التخصصي‬
Marof,‫مروف‬
FRNAG,‫فرناج‬
ASDCO,‫أسدكو‬
Jupiter,‫مشتري‬
Butterfly,‫فراشة‬
Dukhan Store,‫متجر دخان‬
Grill and More,‫شواية والمزيد‬
Etihad Specialized,‫الاتحاد للطيران التخصصية‬
Shawarma Saad,‫شاورما سعد‬
Sultan Bakeries and Sweets,‫مخابز وحلويات سلطان‬
Abqaiq Islamic Center,‫مركز بقيق الإسلامي‬
Prime Food Products,‫برايم للمنتجات الغذائية‬
Kisa Dress,‫فستان كيسا‬
Baladiya Ein Dar,‫بلدية عين دار‬
Sara International Factory,‫مصنع سارة الدولي‬
Najeem,‫نجيم‬
Tilal Alamal Trading Est.,‫مؤسسة تلال الأمل التجارية‬
Mashwee Ya Akhtar,‫مشوي يا أختر‬
Mr. PC,‫السيد PC‬
Enet,‫إينت‬
Kwatim Al-Khaleej Restaurant,‫مطعم كواتيم الخليج‬
Aseel,‫أصيل‬
Juice Plus,‫جوس بلس‬
Relam,‫ريلام‬
Shahery Sweets Center,‫مركز حلويات الشهري‬
Grillo Butcher,‫جريلو بوتشر‬
Nahawand Al-Sharq Restaurant,‫مطعم نهاوند الشرق‬
The Low Fat,‫قليل الدسم‬
Dubai For Saving (Jubail),‫دبي للادخار (الجبيل)‬
Cabalen Supermarket,‫Cabalen سوبر ماركت‬
Fresh House,‫فريش هاوس‬
Bu Khamseen,‫بو خمسين‬
Sufra Fast Food,‫سفرة للوجبات السريعة‬
Discount Twenty,‫خصم عشرون‬
Vape World,‫عالم السجائر الإلكترونية‬
Jeefinshee,‫جيفينشي‬
Faris,‫فارس‬
Jaafar,‫جعفر‬
Dana Pharmacy,‫صيدلية دانة‬
Secret Smile,‫ابتسامة سرية‬
Jood Roastery,‫جود محمصة‬
Rosto Steak and Burger,‫روستو ستيك اند برجر‬
Matahin AL-Maha,‫مطحين المها‬
Frutella,‫فروتيلا‬
Modern Steel Factory,‫مصنع الصلب الحديث‬
Majurin,‫ماجورين‬
Meal House,‫ميكل هاوس‬
Maglopa Express,‫ماجلوبا إكسبريس‬
Habra Restaurant,‫مطعم حبرا‬
Rooster,‫ديك‬
Aker Sweets,‫حلويات آكر‬
Great Area Discount,‫خصم مساحة كبيرة‬
Shater Hassan,‫شاطر حسن‬
Rose Flower,‫زهرة الورد‬
Enabji,‫إنابجي‬
Family Choice (FC),‫اختيار العائلة (FC)‬
‫Choco Cafï؟½‬,‫شوكو كافي؟1/2‬
Flavor,‫نكهه‬
Bahar Al-Athoor,‫بحر الآثور‬
QassQouss Bakery and Sweets,‫مخبز وققس والحلويات‬
Asawer Sweet,‫أساور سويت‬
Bombai Ryani,‫بومباي رياني‬
Extreme Carwash,‫غسيل السيارات الشديد‬
Majibos Restaurant,‫مطعم ماجيبوس‬
Leo Mobile Phone Shop,‫متجر ليو للهواتف المحمولة‬
Sweet Dama Rose,‫سويت داما روز‬
Coral Jubail Hotel,‫فندق كورال الجبيل‬
Passion Fruit,‫فاكهة العاطفة‬
Global Insignia for Technical Services,‫شارة عالمية للخدمات الفنية‬
Mandy Al-Reef,‫ماندي الريف‬
Dr. AlNaamy Specialist Hospital (ASH),‫مستشفى الدكتور النعامي التخصصي (ASH)‬
First Choice,‫الخيار الأول‬
Tarteel Perfumes,‫عطور تارتيل‬
Pinoy Supermarket,‫Pinoy سوبر ماركت‬
Falafel,‫فلافل‬
Muallem Falafel,‫المعلم فلافل‬
Madlouh,‫مدلوح‬
Rayhan,‫ريحان‬
Mayada Restaurant,‫مطعم Mayada‬
Golden Leaf,‫الورقة الذهبية‬
The Egyptian World Foods,‫ذا ميجيجي وورلد فودز‬
The Grill Hut,‫ذا جريل هت‬
Raed Telecom,‫رائد للإتصالات‬
Shabi Restaurant,‫مطعم شابي‬
Modhesh,‫مدهش‬
Kabsah Hasawiah,‫كبسة حساوية‬
Faraby,‫فاربي‬
Flower Store,‫محل الزهور‬
Mandi Express,‫ماندي اكسبريس‬
Flower Foam Car Care,‫زهرة رغوة العناية بالسيارات‬
Saudi German Hospital,‫المستشفى السعودي الألماني‬
Brite Laundry,‫غسيل برايت‬
Zainuddin,‫زين الدين‬
Milh wa Qablah,‫مالح وقبلة‬
Reef Janob,‫ريف جانوب‬
Bariqah Shariqa,‫بارقة شارقة‬
Covers,‫يغطي‬
Sufrah Taam,‫صفرة تام‬
Naklah,‫نكلة‬
Layan Place,‫ليان بليس‬
Fish Bags,‫أكياس السمك‬
Spical Bakery,‫مخبز Spical‬
Warid,‫وارد‬
Vitamin Palace,‫قصر فيتامين‬
Kasra Khoboz,‫كسرى خبوز‬
Bubbles,‫الفقاقيع‬
Spicy Fried,‫سبايسي فرايد‬
Scale,‫مِيزَان‬
AlSafron,‫الصفرون‬
Alshasha phone,‫هاتف الشاشة‬
Raneem Phone,‫هاتف رنيم‬
Kibdah Hijazi,‫كبدة حجازي‬
Masoob,‫معصوب‬
Mohammed Mabyoq,‫محمد مبيوق‬
Melt Chocolate,‫تذوب الشوكولاتة‬
Taam Coffee,‫قهوة تام‬
Makan Store,‫متجر مكان‬
Zero Three Resturant,‫مطعم زيرو ثري‬
Shateraty,‫شاطراتي‬
Brother Taest,‫الأخ تاست‬
Fanar Medical Center,‫مركز الفنار الطبي‬
Nathree Resturant,‫مطعم ناثري‬
Layali Keef,‫ليالي كيف‬
Shakir Restrant,‫شاكر ريسترانت‬
Arzaq Online,‫أرزاق أون لاين‬
Locast Oil,‫زيت لوكاست‬
Romoz Phone,‫هاتف Romoz‬
Sharq Wool Factory,‫مصنع شرق للصوف‬
Lavender,‫اللافندر‬
T-shirt bag,‫حقيبة تي شيرت‬
Pre-Choice,‫الاختيار المسبق‬
Hot and Spicy,‫حار وحار‬
Falafel In and Out,‫فلافل داخل وخارج‬
Almaedah,‫المائدة‬
Burger Nook,‫برجر نوك‬
Khayal Bookstore,‫مكتبة خيال‬
Baba Hammad,‫بابا حماد‬
Clean Car,‫سيارة نظيفة‬
Wadi Maysan,‫وادي ميسان‬
Naqsa Holo Malih,‫نقصا حلو مليح‬
Rose Avenu,‫روز أفينو‬
Tag Resturant,‫مطعم العلامة‬
Victoria,‫فيكتوريا‬
Sama Bahrain,‫سما البحرين‬
Arzaq,‫أرزاق‬
Vaporz Lounge,‫فابروز لاونج‬
Turath Al-Hadramy Resturant,‫مطعم تراث الحضرمي‬
Falafe Demashq,‫فلافي دمشق‬
Jalsat Dar,‫جلسات دار‬
Beano Bake House,‫بينو بيك هاوس‬
Mazaya Car Wash,‫مزايا غسيل السيارات‬
Dragon Vilage,‫التنين فيلاج‬
Florate,‫فلورات‬
Bahrain plain,‫سهل البحرين‬
Mawalstar Restaurant,‫مطعم موالستار‬
Daliya Perfume,‫عطر الداليا‬
mashawi Hamawyah,‫مشوي حماوية‬
Hermony Resurant,‫هيرموني ريسورانت‬
Stanford Medical,‫ستانفورد الطبية‬
Mr.Sandwich (Bahrain),‫مستر ساندويتش (البحرين)‬
Signature Factory,‫مصنع سيجنتشر‬
Classy Gallery,‫معرض أنيق‬
Juice Factory,‫مصنع العصائر‬
Mulhim Plas,‫موليم بلاس‬
Kharob Bashs,‫خروب باشس‬
Nafza Lak,‫نفزة لاك‬
Samer Al-Ali Trading Est.,‫مؤسسة سامر العلي التجارية‬
Nahar Dijla,‫نهار دجلة‬
Salman Sweets,‫حلويات سلمان‬
Pista,‫بيستا‬
Jumla Online,‫جملة أون لاين‬
Sarah Sweet,‫سارة سويت‬
Suhail Carwash,‫سهيل لغسيل السيارات‬
Waseem Restaurant,‫مطعم وسيم‬
Jubail,‫الجبيل‬
Sweet Juice,‫عصير حلو‬
House Of Supllements,‫بيت السوبليمنتس‬
Dr. Drink,‫دكتور درينك‬
Dukkan Laila,‫دكان ليلى‬
MHD Adhuhan,‫MHD Adhuhan‬
Dolma,‫دولما‬
Reef Carwash,‫ريف كارواش‬
Mona Bahrain,‫منى البحرين‬
Abaya Bushiah,‫عباية بوشية‬
ZM,‫ZM‬
Sweet Home,‫سويت هوم‬
Dubai Discount Palace (Dammam),‫قصر دبي ديسكونت (الدمام)‬
Amasina Trading Corporation,‫شركة أماسينا التجارية‬
You Me,‫أنت أنا‬
Karaca Home,‫كاراجا هوم‬
Rasasi,‫الرصاصي‬
Family Sweets,‫حلويات عائلية‬
Lozo,‫لوزو‬
Golden Chicken,‫دجاج ذهبي‬
Dessert Hub Trading,‫حلويات هب للتجارة‬
Smile Candy,‫ابتسامة كاندي‬
Healthy Style,‫أسلوب صحي‬
Markaz Riyadh (RMN),‫مركز الرياض (RMN)‬
Harmony Food,‫هارموني فود‬
Mesob Engineering,‫هندسة ميسوب‬
Moamal Pharmacy,‫صيدلية مؤمل‬
Zainab Muabber,‫زينب معبر‬
Nessma Corner Trading,‫ركن نسمة للتجارة‬
Nawal Coldstore,‫نوال كولدستور‬
Thouq,‫ثوق‬
Lahza Restaurant,‫مطعم لحظة‬
Smoke House,‫بيت الدخان‬
Platinum,‫بلاتين‬
Bent Al-Nor,‫بنت النور‬
Hatam,‫حاتم‬
Mowasir Center,‫مركز الواسر‬
Rocon Trading,‫روكون للتجارة‬
Ghanam Va Ghanam,‫غنام فا غنام‬
Smart Application,‫تطبيق ذكي‬
Life Laundry,‫غسيل الحياة‬
Watco,‫واتكو‬
Violeta,‫فيوليتا‬
Saffron House,‫بيت الزعفران‬
Banana Band,‫فرقة الموز‬
Malhamath Fares,‫مالهاماث فارس‬
Pawn Coffee,‫قهوة بيدق‬
Mesk Health Pharmacy,‫صيدلية مسك الصحية‬
Oxygen,‫أكسجين‬
Mulhim Auto,‫مولهيم أوتو‬
Gasal Restaurant (Red),‫مطعم جسال (أحمر)‬
Gazzal Restaurant (Green),‫مطعم غزال (أخضر)‬
Hussain Kitchen,‫مطبخ حسين‬
Fateratak,‫فطراتك‬
Malak For Birds,‫ملك للطيور‬
Andalus For Make-up,‫الأندلس للمكياج‬
Matnokh,‫متنوخ‬
Kadehm,‫كاظم‬
Salim,‫سالم‬
Day And Night Supermarket,‫سوبر ماركت ليلا ونهارا‬
Bait Al Shamel,‫بيت الشامل‬
Ctrl P,‫Ctrl P‬
Barakat Supermarket,‫بركات سوبر ماركت‬
Khaleeji Restaurant,‫مطعم الخليجي‬
Technology Bakeries,‫مخابز التكنولوجيا‬
Family Imprint Discounts,‫خصومات البصمة العائلية‬
Silat Al-Tawfeer,‫سيلة التوفير‬
Nukbah,‫النكبة‬
Rawnaq Medical Center,‫مركز رونق الطبي‬
Sushi Gallery,‫معرض السوشي‬
Moltea Cookies,‫بسكويت مولتيا‬
Nadeen Fashion,‫أزياء نادين‬
Family And Friends,‫العائلة والأصدقاء‬
La Vallee,‫لا فالي‬
Barakat Malabis,‫بركات ملابس‬
Specialist Juice,‫عصير متخصص‬
Noon,‫الظهيرة‬
International Colors,‫ألوان عالمية‬
Tahifah,‫الطهيفة‬
Sobya King,‫سوبيا كينج‬
East Sweets,‫حلويات الشرق‬
Manarat Al-Nader Medical Pharmacy,‫صيدلية منارة النادر الطبية‬
Amana Al Sharkiah,‫أمانة الشركية‬
Lord Charcoal,‫اللورد فحم‬
Shake Sushi,‫شيك سوشي‬
Ghadah Exchange,‫غادة للصرافة‬
Millennialeer,‫جيل الألفية‬
Fursan Al-Fakhama,‫فرسان الفخمة‬
Star Sweet,‫ستار سويت‬
Nawals Kitchen,‫مطبخ نوالس‬
Bogsha Visitor,‫زائر بوغشا‬
Bader Style,‫أسلوب بدر‬
Vape City,‫مدينة فيب‬
Khyrat,‫خيرات‬
Fish Basket,‫سلة السمك‬
Wahat Al-Quds Pharmacy,‫صيدلية واحة القدس‬
OFFSIDE,‫تسلل‬
Nakhat Broasted,‫نخت بروستد‬
Abduljaleel Al-Musabeh Nuts,‫عبدالجليل المصبح مكسرات‬
Chinese,‫الصينية‬
Enabi Grill Restaurant,‫مطعم عنابي جريل‬
East Lights,‫الأضواء الشرقية‬
Shear Tawfir,‫القص التوفير‬
Kaaf Humanitarian,‫كاف للخدمات الإنسانية‬
Sharq Al Wadi Trading Establishment,‫مؤسسة شرق الوادي التجارية‬
Sikkat Karak,‫سكات كرك‬
Operation and Maintenance Management in Taif,‫إدارة التشغيل والصيانة في الطائف‬
SAF,‫SAF‬
ITS,‫الآيات‬
X-Ray,‫الأشعة السينية‬
Dukhan Falafel,‫دخان فلافل‬
Book Sweet Book,‫Book Sweet Book‬
SOL,‫سول‬
Grape Leaves And More,‫ورق العنب والمزيد‬
Zankil,‫زنكيل‬
Dawood Al Najar,‫داوود النجار‬
Hala Majles,‫مجلس هلا‬
Ear Techno,‫تكنو الأذن‬
Ayam Zaman,‫أيام زمان‬
Candy Shop,‫متجر الحلوى‬
Top Shoes,‫توب شوز‬
Egyptian Bread,‫خبز مصري‬
AM Al-Khalifa,‫عبد اللطيف آل خليفة‬
White Line,‫الخط الأبيض‬
Care Line Pharmacy,‫صيدلية كير لاين‬
ABA,‫ابا‬
Magic Clean,‫ماجيك كلين‬
Otto Care,‫أوتو كير‬
Nana Jiuce,‫نانا جيوسي‬
‫Avon Cafï؟½‬,‫Avon Cafey?1/2‬
Color of Life,‫لون الحياة‬
Dr. Health,‫دكتور هيلث‬
Best Touch Car Wash,‫أفضل غسيل سيارات يعمل باللمس‬
